primaryName,starPower
'Philthy' Phil Phillips,0.17460102001025374
A Normale Jef,0.07284561323650224
A. Balakrishnan,0.232419771250428
A. Barr-Smith,0.10307433868944332
A. Bhimsingh,0.7148686469637788
A. Blaine Miller,0.580315540791223
A. Cengiz Mert,0.0058296282934590365
A. Danielyan,0.005189650918389768
A. Dean Bell,1.8072353088934647
A. Edward Sutherland,0.458806235575601
A. Fishman,0.0953494404598616
A. Hans Scheirl,0.26626416034451844
A. Jagadesh,0.3053798903907656
A. Jagannathan,0.8419940408659872
A. Joji,0.013355512622858385
A. Kajvoryan,0.013092840571395255
A. Karunakaran,10.040216715091068
A. Kasilingam,0.0981888623655138
A. Kodandarami Reddy,0.2354199651848888
A. Lawrence Dreyfuss,0.036071383089674364
A. Leung Wong,0.030074140396590936
A. Levent Ungor,0.06283074715509056
A. Liong Wong,0.02836782123802305
A. Madatyan,0.0048565500446757755
A. Mahadev,0.5109613287635889
A. Majid,1.3460560263389654
A. Martin Zweiback,0.0978585834239612
A. Muthu,0.4472372879908144
A. Nairang,0.03436870649991254
A. Petrosyan,0.22090670543694899
A. Ptitsina,0.2772332757171587
A. Rappaport,0.08146939959424873
A. Raven Cruz,0.3327664621455221
A. Razak Mohaideen,0.21379467015253734
A. Salaam,0.09111022492404043
A. Sarkunam,2.1680066439312458
A. Sayeeda Moreno,0.02366850379966912
A. Senthil Kumar,0.04137217970227227
A. Shamsheer,0.05662355972575615
A. Sreekumar,0.01432682263179354
A. Sunil Kumar Reddy,0.02681211458915996
A. Taner Elhan,2.9522427375819307
A. Todd Smith,2.514247065064772
A. Uygur Ozturk,0.07064881722995864
A. Veerappan,0.018509983740766872
A. Venkatesh,0.2719919195662905
A. Vincent,0.08367145312932674
A.A. Junaideen,0.014209718965306404
A.A. Krovek,0.04265619624084226
A.A. Pienaar,0.01830034797537445
A.B. Raj,0.0263094899591437
A.B. Sallu,0.010930553050235691
A.B. Sasi,0.01366526472645737
A.B. Shawky,1.8482484585934096
A.C. Lily T.-Rampenthal,0.031382506992469035
A.C. Mughil,0.033429151188174355
A.C. Narasimhamurthy,0.11128447829787874
A.C. Trilogchander,0.5064023455896122
A.D. Calvo,1.8820853893596268
A.D. Freese,0.18930968186916766
A.D. Gerhardt,0.00977528940787707
A.D. Liano,0.011841432471088669
A.D. Oppenheim,0.026365144865482668
A.F. Erickson,0.15983972821487394
A.G. Amid,2.2031373125239573
A.G. Vermouth,0.04260590251638375
A.J. Ager,0.016977337320656174
A.J. Brooks,0.009713100089351551
A.J. Detisch,0.01675509765413143
A.J. Edwards,2.231154999260992
A.J. Jamal,0.057912251433962676
A.J. Kardar,0.14157914971601188
A.J. Kparr,0.5649618278656166
A.J. Mintu,0.010932211781165895
A.J. Murugan,2.15518258029692
A.J. Shepard,0.01311666366028283
A.K. Bir,0.6885334996145779
A.K. Lohithadas,0.9533193670714721
A.K. Sajan,2.3514585636069163
A.K. Strom,0.10287066130458987
A.L. Abanindran,0.1472986946102495
A.L. Vijay,18.569390851356747
A.M. Greene,0.15139566064604226
A.M.R. Ramesh,0.5073779115053847
A.N. Bannerjee,0.012752311891941644
A.O. Väisänen,0.07507959712263255
A.P. Arjun,0.19055231941873046
A.P. Gonzalez,0.1625398473896582
A.P. Nagarajan,1.3099134697940271
A.P. Subbaraav,0.041350977603127975
A.Q. Khokon,0.006073450989536609
A.R. Badul,0.008500251659023541
A.R. Gandhi Krishna,0.7005805962781662
A.R. Harwood,0.012141375111689442
A.R. Murugadoss,61.91456350589137
A.R. Rajasekar,0.033318096420784815
A.R. Sarkar,0.015484950154500566
A.R. Shiva Tejas,0.25150478625860523
A.R. Zamindar,0.009717521583258577
A.S. Nagarajan,0.01457407073364759
A.S. Pragasam,0.02220524996497101
A.S. Ravi Kumar Chowdary,0.8162215951396641
A.S. Ravindra Babu,1.2766866524484597
A.S.A. Sami,0.06776434937987656
A.T. Abu,0.10033259184605628
A.T. Krishnaswamy,0.22399172528846384
A.T. Raghu,0.03308078208250238
A.T. Sayre,0.02819877439903015
A.T. White,2.3087540517722798
A.V. Bixovski,0.010412808282303836
A.V. Bramble,0.6641854009779784
A.V. Meiyappan,0.2261741907131081
A.V. Ratnam,0.5426519826703871
A.V. Sasidaran,0.03578134460737061
A.W. Vidmer,2.8736079290125423
Aabis Raza,0.12419563892224612
Aage Rais-Nordentoft,0.7462360825023934
Aage Wiltrup,0.06804752938609407
Aakkoo,0.015842092277189822
Aalam-Warqe Davidian,0.14945576887253342
Aamir Bashir,0.3837586601532191
Aamreeta Gautam,0.059035313027773664
Aanand L. Rai,33.373049341431056
Aanand Raut,0.039727125319330786
Aanchal R. Vombatkere,0.014203255145066738
Aaref Rodriguez,0.08420470066585181
Aarne Laine,0.1454390235365673
Aarne Tarkas,0.3880885799665785
Aaron Abdin,0.06374086272153441
Aaron Agrasanchez,0.0457834027142388
Aaron Allred,0.020857871565377585
Aaron Alon,0.021578022239620617
Aaron Avont Johnson,0.02037280478478741
Aaron Aziz,0.00965532186104153
Aaron Bear,0.03575203677717723
Aaron Blaise,22.685576594486484
Aaron Blossom,0.01678799702657149
Aaron Bowden,0.01918337267646932
Aaron Brookner,0.03056846048378536
Aaron Brown,0.03977547600839446
Aaron Burk,0.13209539171515508
Aaron Burnett,0.02717196487447588
Aaron Bush,0.04228992596977249
Aaron Catling,0.036865075324853405
Aaron Challis-King,0.3535386867275253
Aaron Champion,0.021692840712105997
Aaron Commareri,0.02137649027023254
Aaron Covich,0.057116760289006
Aaron Douglas Johnston,0.4009108390162795
